	crp	esr	das28crp	rf_tit	acpa_tit
L3MBTL2	0	0	0	0	0
LAD1	0	0	0	0	0
LAMTOR3	0	0	0	0	0
LASP1	0	0	0	0	0
LATS1	0	0	0	0	0
LCK	0	0	0	0	0
LCP1	0	0	0	0	0
LDB1	0	0	0	0	0
LDB2	0	0	0	0	0
LDHA	0	0	0	0	0
LDHB	0	0	0	0	0
LDHC	0	0	0	0	0
LEF1	0	0	0	0	0
LEMD1	0	0	0	0	0
LGALS1	0	0	-0.5364234494634459	0	0
LGALS7	0	0	0	0	0
LGMN	0	0	0	0	0
LHFP	0	0	0	0	0
LIMK2	0	0	0	0	0
LIMS1	0	0	0	0	0
LIN28A	0	0	0	0	0
LIPI	0	0	0	0.4914540479912061	0
LMNA	0	0	0	0	0
LMO2	0	0	0	0	0
LNX1	0	0	0	0	0
LRRFIP2	0	0	0	0	0
LSM1	0	0	0	0	0
LTA4H	0	0	0	0	0
LTV1	0	0	0	0	0
LUZP4	0	0	0	0	0
LY6K	0	0	0	0	0
LY86	0	0	0	0	0
LY96	0	0	0	0	0
LYL1	0	0	0	0	0
LYN	0	0	0	0	0
LYPD6B	0	0	0	0	0
LZTR1	0	0	0	0	0
MAEL	0	0	0	0	0
MAFG	0	0	0	0	0
MAGEA10	0	0	0	0	0
MAGEA4	0	0	0	0	0
MAGEB1	0	0	0	0	0
MAGEB2	0	0	0	0	0
MAGEB3	0	0	0	0	0
MAGEB4	0	0	0	0	0
MAGEB5	0	0	0	0	0
MAGEB6	0	0	0	0	0
MAGEC1	0	0	0	0	0
MAGEC2	0	0	0	0	0
MAGEC3	0	0	0	0	0
MAK	0	0	0	0	0
MAL	0	0	0	0	0
MALL	0	0	0	0	0
MAP2K1	0	0	-0.4370405532261617	0	0
MAP2K3	0	0	0	0	0
MAP2K5	0	0	0	0	0
MAP2K6	0	0	0	0	0
MAP2K7	0	0	0	0	0
MAP3K13	0	0	0	0	0
MAP3K14	0	0	0	0	0
MAP3K2	0	0	0	0	0
MAP3K20	0	0	0	0	0
MAP3K6	0	0	0	0	0
MAP3K7	0	0	0	0	0
MAP4	0	0	0	0	0
MAP4K3	0	0	0	0	0
MAP4K5	0	0	0	0	0
MAPK1	0	0	0	0	0
MAPK10	0	0	0	0	0
MAPK11	0	0	0	0	0
MAPK12	0	0	0	0	0
MAPK13	0	0	0	0	0
MAPK14	0	0	0	0	0
MAPK3	0	0	0	0	0
MAPK6	0	0	0	0	0
MAPK7	0	0	0	0	0
MAPK8_tv1	0	0	0	0	0
MAPK8_tv2	0	0	0	0	0
MAPK9	0	0	0	0	0
MAPKAPK3	0	0	0	0	0
MAPKAPK5	0	0	0	0	0
MARK2	0	0	0	0	0
MARK3	0	0	0	0	0
MARK4	0	0	0	0	0
MAST1	0	0	0	0	0
MASTL	0	0	0	0	0
MATK	0	0	0	0	0
MATN3	0	0	0	0	0
MAX	0	0	0	0	0
MAZ	0	0	0	0	0
MCM5	0	0	0	0	0
MCMBP	0	0	0	0	0
MDM2	0	0	0	0	0
ME2	0	0	0	0	0
MECP2	0	0	0	0	0
MED16	0	0	0	0	0
MED17	0	0	0	0	0
MED21	0	0	0	0	0
MED22	0	0	0	0	0
MED24	0	0	0	0	0
